Date,Price,Open,High,Low,Vol.,Change %,log return,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD,Vol2_5D_SD minus Vol_20D_SD,SPX_Price,SPX and HSI 比例,input1 動能差,input 5,SHComp_input 3 Price,SHComp_Vol.,SHComp_Change %,CNH input 2 Price,Change %,input 7 deviation,US10yT_input 4 Price,US10yT_Change %,label 1 N+1到N+5天短期(5D)vol of vol 的標準化平均減 N到N-4短期(5D)vol of vol 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 (Ken)
2017/12/28,29863.71,29684.79,29873.1,29661.06,1.38,0.009,0.0089487267,0.0652581836,-0.522233942,0.1512769107,0.3337556567,0.5328282009,-0.0477177587,0.2326917496,0.0019586803,-0.049676439,2682.62,11.13229231,-242.641293,11.01102131,3296.38,17.54,0.0063,6.5309,-0.0035,0.006268888,2.413,-0.0247,-0.5382098266,0.0437273971,0.0261986035
2017/12/29,29919.15,29914.05,29997.96,29849.31,1.41,0.0019,0.0018547127,0.055264415,-0.5266222683,0.1511325489,0.2295135608,0.4500146903,-0.8197763821,0.1971512107,-0.581977745,-0.2377986371,2687.54,11.13254128,-0.6691218287,11.05707705,3307.17,14.16,0.0033,6.514,-0.0026,0.0032679421,2.434,0.0087,-0.7145624235,0.0667643252,0.0518354998
2018/1/2,30515.31,30028.29,30515.31,30028.29,2.44,0.0199,0.0197297813,0.1204361404,1.765438036,0.1538740748,0.3729125989,0.4514156893,-0.9134739087,0.1819467681,-0.8933164134,-0.0201574953,2673.61,11.41352329,-751.2363001,11.14759659,3348.33,20.23,0.0124,6.5022,-0.0018,0.0123688753,2.405,-0.0119,-0.1994801582,-0.0174493358,0.0327535703
2018/1/3,30560.95,30658.73,30724.32,30456.76,2.38,0.0015,0.0014945253,0.1284038023,1.196620403,0.1523956256,0.1544749627,0.5720479244,0.2718404496,0.1638535891,-1.24203243,1.513872879,2695.81,11.33646288,207.740217,11.21133254,3369.11,21.38,0.0062,6.4977,-0.0007,0.0061869005,2.462,0.0235,0.1928104985,-0.0464596175,-0.003338645
2018/1/4,30736.48,30691.71,30796.93,30560.43,3.09,0.0057,0.0057271726,0.1184570397,0.6067031153,0.1528192471,0.089798154,0.5466727385,0.6391413518,0.1408862697,-1.619472706,2.258614058,2713.06,11.32908229,20.0239847,11.26878041,3385.71,20.7,0.0049,6.4919,-0.0009,0.0049150187,2.445,-0.0069,0.327782166,-0.0576713762,-0.0367782527
2018/1/5,30814.64,30893.86,30911.01,30638.53,2.33,0.0025,0.002539679,0.1223665063,0.4421843654,0.1450938386,-1.242552458,0.4803779263,-0.3513158703,0.1015416191,-2.097401518,1.746085648,2723.99,11.31231759,45.66686944,11.30478547,3391.75,21.31,0.0018,6.4805,-0.0018,0.0017823791,2.453,0.0033,0.4951086455,-0.0759690199,-0.0625880943
2018/1/8,30899.53,30895.09,30929.15,30732.54,2.07,0.0028,0.0027510717,0.1204802121,-0.4051058104,0.1113297703,-3.552466276,0.0606807401,-1.739134114,0.1786652825,-0.9276687061,-0.8114654081,2743.15,11.26425095,131.8540051,11.3311274,3409.48,23.62,0.0052,6.4965,0.0025,0.0052137746,2.476,0.0094,0.700851589,-0.0846806123,-0.0862291404
2018/1/9,31011.41,30933.51,31056.7,30852.43,2.07,0.0036,0.0036142279,0.0252264622,-1.782348829,0.1111940557,-2.692062636,0.6925732749,0.9193034923,0.2272515726,-0.2113622046,1.130665697,2747.71,11.28627475,-60.51501566,11.30567769,3413.9,19.15,0.0013,6.535,0.0059,0.0012955458,2.48,0.0015,0.1719371798,0.0310286513,-0.046731691
2018/1/10,31073.72,31009.24,31267.57,30928.58,2.68,0.002,0.0020072446,0.0231907035,-1.114270698,0.1081158313,-2.314264657,0.8370341269,1.07004971,0.270968196,0.4300751873,0.6399745228,2751.29,11.29423652,-21.90513639,11.29723242,3421.83,20.91,0.0023,6.5228,-0.0019,0.0023201629,2.551,0.0286,-0.0982484405,0.0537695756,-0.0049839057
2018/1/11,31120.39,31066.21,31133.18,30950.07,1.85,0.0015,0.0015007855,0.0126644331,-0.8660611104,0.1049852496,-2.065911677,0.882040355,0.8700213642,0.3079231045,0.9377736331,-0.0677522689,2748.23,11.32379386,-81.23036376,11.29617474,3425.34,17.38,0.001,6.4921,-0.0047,0.0010252412,2.559,0.0031,-0.3689415629,0.0862090625,0.0380878322
